kepoi_name,kepler_name,kepid,ra,dec,koi_period,koi_prad,koi_teq,koi_steff,koi_srad,koi_kepmag,koi_disposition
"K00753.01",,10811496,297.004820,48.134129,19.89913995,14.6,638.0,5853.00,0.8680,15.436,"CANDIDATE"
"K00777.01",,11818800,294.316860,50.080231,40.4195037,7.51,467.0,5446.00,0.7810,15.487,"CANDIDATE"
"K00780.02",,11918099,293.833310,50.230350,7.2406612,19.45,734.0,5005.00,0.7650,15.334,"CANDIDATE"
"K00115.03",,9579641,287.887330,46.276241,3.43591631,0.55,1272.0,5779.00,1.0870,12.791,"CANDIDATE"
"K00797.01",,3115833,291.281950,38.241669,10.181584004,7.73,812.0,5988.00,0.8360,15.657,"CANDIDATE"
"K00802.01",,3453214,293.816190,38.563568,19.620346923,13.6,643.0,5710.00,0.9050,15.562,"CANDIDATE"
"K00815.01",,4544670,285.920010,39.624828,34.84398644,7.61,511.0,5509.00,0.8710,15.684,"CANDIDATE"
"K00820.01",,4936180,295.113710,40.071171,4.64090031,30.09,1155.0,6463.00,0.8260,15.270,"CANDIDATE"
"K00823.01",,5115978,296.006990,40.295429,1.028436523,72.77,1947.0,6228.00,0.9900,15.202,"CANDIDATE"
"K00868.01",,6867155,293.007970,42.307201,235.9986399,10.59,188.0,4245.00,0.6570,15.172,"CANDIDATE"
"K00856.01",,6526710,293.179290,41.969238,39.74893077,14.21,552.0,6122.00,0.9640,15.344,"CANDIDATE"
"K00858.01",,6599919,289.897770,42.009151,13.61014819,19.02,733.0,5697.00,0.9030,15.060,"CANDIDATE"
"K00865.01",,6862328,291.583770,42.368160,119.0207044,8.98,366.0,5453.00,1.0620,15.085,"CANDIDATE"
"K00871.01",,7031517,291.119690,42.507069,12.940668656,22.94,723.0,5875.00,0.8090,15.215,"CANDIDATE"
"K00883.01",,7380537,296.683070,42.967869,2.688899233,12.04,929.0,4820.00,0.6390,15.766,"CANDIDATE"
"K00901.01",,8013419,285.167480,43.876339,12.732624065,4.87,432.0,3950.00,0.5410,15.750,"CANDIDATE"
"K00902.01",,8018547,287.852390,43.897991,83.92494032,4.78,226.0,3960.00,0.5090,15.754,"CANDIDATE"
"K00914.01",,8552202,288.726650,44.607510,3.886655224,1.87,1010.0,5662.00,0.7380,15.371,"CANDIDATE"
"K00928.01",,9140402,284.759430,45.599129,2.494170338,2.42,1194.0,5569.00,0.8290,15.251,"CANDIDATE"
"K00924.01",,8951215,291.208040,45.244389,39.4759093,4.06,577.0,6225.00,1.0310,15.229,"CANDIDATE"
"K00935.04",,9347899,294.023010,45.853081,9.61731426,1.94,1010.0,6035.00,1.2570,15.237,"CANDIDATE"
"K01103.01",,2860866,293.223910,38.033581,90.1240507,7.12,485.0,6520.00,1.2150,14.960,"CANDIDATE"
"K01168.01",,10460629,287.586790,47.600021,856.672115,3.87,242.0,6449.00,1.3090,13.997,"CANDIDATE"
"K01169.01",,10319385,281.551180,47.469959,0.689210173,1.32,1943.0,5630.00,0.9540,13.248,"CANDIDATE"
"K00970.01",,11502218,289.093230,49.424484,3.9886021,34.39,3145.0,4813.00,13.6520,6.974,"CANDIDATE"
"K00971.01",,11180361,286.019200,48.866741,0.533059312,133.56,5862.0,8523.00,4.0510,7.748,"CANDIDATE"
"K01174.01",,10287723,296.821620,47.354031,129995.7784,2.99,25.0,4500.00,0.7260,13.447,"CANDIDATE"
"K00972.02",,11013201,282.000310,48.542221,7.82187328,2.78,2101.0,7221.00,4.2400,9.275,"CANDIDATE"
"K00974.01",,9414417,295.802670,45.988079,53.5057611,2.52,675.0,6247.00,1.7620,9.582,"CANDIDATE"
"K00151.01",,2307199,292.374760,37.630959,13.4471791,5.24,848.0,6276.00,1.0410,14.000,"CANDIDATE"
"K01118.01",,2853446,291.650970,38.028179,7.37290344,2.67,1004.0,5973.00,1.0700,13.835,"CANDIDATE"
"K01193.01",,3942446,287.888120,39.078709,119.0624882,10.4,366.0,5697.00,0.9200,15.289,"CANDIDATE"
"K01194.02",,3554031,293.804410,38.639130,14.8623076,1.57,454.0,4362.00,0.5540,15.842,"CANDIDATE"
